File,NumProperties,TotalSize,AvgSize,AvgAtomicComplexity,AvgNumAtoms,AvgSimpleAtoms,AvgComparisonAtoms,AvgBooleanAtoms
ARMCacheCoherence-PT-none,16,347,21.6875,12.5625,8.625,0,4.125,1.4375
ASLink-PT-01a,16,419,26.1875,14.1875,10.5,0,4.75,1.5625
ASLink-PT-01b,16,426,26.625,14.5625,9.75,0,5.6875,1.0625
ASLink-PT-02a,16,443,27.6875,15.8125,12.0625,0,5.9375,1.3125
ASLink-PT-02b,16,327,20.4375,11.4375,8.875,0,4.3125,0.9375
ASLink-PT-03a,16,521,32.5625,17.1875,12.5625,0,5.5,2.0625
ASLink-PT-03b,16,381,23.8125,11.8125,8.9375,0,3.375,1.6875
ASLink-PT-04a,16,373,23.3125,12.375,9.25,0,4.5,1.125
ASLink-PT-04b,16,354,22.125,12.5,8.375,0,4.375,1.25
ASLink-PT-05a,16,396,24.75,13.0625,9.6875,0,4.5625,1.3125
ASLink-PT-05b,16,361,22.5625,13.125,9.5625,0,4.6875,1.25
ASLink-PT-06a,16,386,24.125,13.625,10,0,4.5625,1.5
ASLink-PT-06b,16,446,27.875,14.875,10.875,0,4.625,1.875
ASLink-PT-07a,16,426,26.625,14.9375,9.9375,0,5.5,1.3125
ASLink-PT-07b,16,357,22.3125,12.125,9.125,0,4.5625,1
ASLink-PT-08a,16,391,24.4375,12.1875,9.1875,0,3.9375,1.4375
ASLink-PT-08b,16,379,23.6875,11.4375,8.75,0,3.75,1.3125
ASLink-PT-09a,16,406,25.375,14.5625,10.5,0,4.5625,1.8125
ASLink-PT-09b,16,325,20.3125,11,7.625,0,3.8125,1.125
ASLink-PT-10a,16,601,37.5625,21.0625,15.6875,0,6.5,2.6875
ASLink-PT-10b,16,408,25.5,15.375,10.9375,0,5.25,1.625
AirplaneLD-COL-0010,16,371,23.1875,13.1875,6.875,0,4.4375,1.4375
AirplaneLD-COL-0020,16,429,26.8125,15.3125,7.5625,0,5.5,1.4375
AirplaneLD-COL-0050,16,353,22.0625,11.8125,6.0625,0,3.75,1.4375
AirplaneLD-COL-0100,16,370,23.125,12.4375,6.8125,0,4.0625,1.4375
AirplaneLD-COL-0200,16,387,24.1875,12.625,7.5,0,4.4375,1.25
AirplaneLD-COL-0500,16,365,22.8125,11.375,6.75,0,3.8125,1.25
AirplaneLD-COL-1000,16,364,22.75,12.8125,6.8125,0,4.25,1.4375
AirplaneLD-COL-2000,16,409,25.5625,14.875,7,0,5.5625,1.25
AirplaneLD-COL-4000,16,417,26.0625,13.75,7,0,4.4375,1.625
AirplaneLD-PT-0010,16,362,22.625,12.5,7.8125,0,3.8125,1.625
AirplaneLD-PT-0020,16,475,29.6875,16.75,11.125,0,5.9375,1.625
AirplaneLD-PT-0050,16,354,22.125,12.25,7.625,0,4.0625,1.375
AirplaneLD-PT-0100,16,295,18.4375,9.4375,5.9375,0,3.125,1.0625
AirplaneLD-PT-0200,16,368,23,11.5625,8.8125,0,3.625,1.4375
AirplaneLD-PT-0500,16,357,22.3125,10.75,7.6875,0,3.6875,1.125
AirplaneLD-PT-1000,16,364,22.75,11.8125,7.75,0,3.375,1.6875
AirplaneLD-PT-2000,16,302,18.875,9.5,6.1875,0,3.4375,0.875
AirplaneLD-PT-4000,16,441,27.5625,14.5,8.5625,0,4.4375,1.875
Anderson-PT-04,16,345,21.5625,11,8.125,0,3.625,1.25
Anderson-PT-05,16,297,18.5625,10.125,7.875,0,3.1875,1.25
Anderson-PT-06,16,312,19.5,9.5625,7.3125,0,3,1.1875
Anderson-PT-07,16,414,25.875,14.625,10.3125,0,4.875,1.625
Anderson-PT-08,16,271,16.9375,8.6875,6.875,0,2.5625,1.1875
Anderson-PT-09,16,400,25,12.75,10.1875,0,3.75,1.75
Anderson-PT-10,16,413,25.8125,14.0625,12.1875,0,4.125,1.9375
Anderson-PT-11,16,327,20.4375,10.9375,7.75,0,3.5,1.3125
Anderson-PT-12,16,445,27.8125,15.125,11.8125,0,4.375,2.125
Angiogenesis-PT-01,16,332,20.75,11.5,7.375,0,3.6875,1.375
Angiogenesis-PT-05,16,393,24.5625,12.8125,8,0,4.8125,1.0625
Angiogenesis-PT-10,16,323,20.1875,11.0625,6.3125,0,4.5,0.6875
Angiogenesis-PT-15,16,413,25.8125,14.4375,9.5,0,5.0625,1.4375
Angiogenesis-PT-20,16,430,26.875,13.6875,8.6875,0,4.6875,1.4375
Angiogenesis-PT-25,16,380,23.75,13.3125,8.375,0,4.5,1.4375
Angiogenesis-PT-50,16,607,37.9375,20.5625,13.25,0,6.8125,2.3125
AutoFlight-PT-01a,16,459,28.6875,15,8.6875,0,5.25,1.5
AutoFlight-PT-01b,16,485,30.3125,16.125,11.625,0,5.0625,2
AutoFlight-PT-02a,16,382,23.875,12.625,7.875,0,3.875,1.625
