File,NumProperties,TotalSize,AvgSize,AvgAtomicComplexity,AvgNumAtoms,AvgSimpleAtoms,AvgComparisonAtoms,AvgBooleanAtoms
ARMCacheCoherence-PT-none,16,470,29.375,15.0625,10.1875,0,4.625,1.9375
ASLink-PT-01a,16,493,30.8125,16.8125,11.5,0,5.5,1.9375
ASLink-PT-01b,16,417,26.0625,15.6875,10.5,0,5.875,1.3125
ASLink-PT-02a,16,318,19.875,11.25,8.25,0,3.75,1.25
ASLink-PT-02b,16,423,26.4375,13.8125,10.5,0,4.375,1.6875
ASLink-PT-03a,16,359,22.4375,10.9375,8.4375,0,3.6875,1.1875
ASLink-PT-03b,16,493,30.8125,17.125,12.6875,0,5.9375,1.75
ASLink-PT-04a,16,330,20.625,10.5,7.6875,0,3.75,1
ASLink-PT-04b,16,438,27.375,14.9375,11.5,0,4.9375,1.6875
ASLink-PT-05a,16,469,29.3125,15.9375,11.625,0,5.625,1.5625
ASLink-PT-05b,16,484,30.25,16.5,12.125,0,5.0625,2.125
ASLink-PT-06a,16,212,13.25,6.4375,5.0625,0,2.1875,0.6875
ASLink-PT-06b,16,264,16.5,9,6.625,0,3.1875,0.875
ASLink-PT-07a,16,443,27.6875,14.75,10,0,5.6875,1.125
ASLink-PT-07b,16,402,25.125,13,11,0,4.25,1.5
ASLink-PT-08a,16,401,25.0625,13.0625,10.875,0,4,1.6875
ASLink-PT-08b,16,292,18.25,9.875,7.3125,0,2.875,1.375
ASLink-PT-09a,16,265,16.5625,8.625,6.1875,0,3,0.875
ASLink-PT-09b,16,490,30.625,15.4375,12,0,5,1.8125
ASLink-PT-10a,16,513,32.0625,18.5625,13.875,0,5.8125,2.3125
ASLink-PT-10b,16,411,25.6875,13.0625,9.5,0,4.5625,1.3125
AirplaneLD-COL-0010,16,437,27.3125,14.4375,7.75,0,5.0625,1.4375
AirplaneLD-COL-0020,16,568,35.5,19.8125,9.6875,0,6.8125,2.0625
AirplaneLD-COL-0050,16,457,28.5625,16,8.5625,0,5,2
AirplaneLD-COL-0100,16,442,27.625,15.4375,8.375,0,5.375,1.5625
AirplaneLD-COL-0200,16,422,26.375,14.125,7.75,0,4.625,1.625
AirplaneLD-COL-0500,16,498,31.125,17.4375,9.25,0,5.8125,1.9375
AirplaneLD-COL-1000,16,326,20.375,10.6875,6.875,0,3.375,1.3125
AirplaneLD-COL-2000,16,388,24.25,13.9375,7.0625,0,5.5625,0.9375
AirplaneLD-COL-4000,16,405,25.3125,13.5,7.6875,0,4.3125,1.625
AirplaneLD-PT-0010,16,394,24.625,13.8125,8.25,0,4.75,1.4375
AirplaneLD-PT-0020,16,499,31.1875,17,9.5,0,5.5,2
AirplaneLD-PT-0050,16,430,26.875,14.4375,8.8125,0,5.25,1.3125
AirplaneLD-PT-0100,16,452,28.25,16.5,10.25,0,5.625,1.75
AirplaneLD-PT-0200,16,483,30.1875,16.75,11.3125,0,5.1875,2.125
AirplaneLD-PT-0500,16,444,27.75,15.5625,9.25,0,5.0625,1.8125
AirplaneLD-PT-1000,16,412,25.75,14.4375,9.6875,0,4.875,1.5625
AirplaneLD-PT-2000,16,337,21.0625,11.375,6.8125,0,4,1.125
AirplaneLD-PT-4000,16,405,25.3125,12.8125,8.5625,0,3.6875,1.8125
Angiogenesis-PT-01,16,546,34.125,19,11.4375,0,6.3125,2.125
Angiogenesis-PT-05,16,325,20.3125,11.125,7,0,4.0625,1
Angiogenesis-PT-10,16,385,24.0625,14.125,8.625,0,4.625,1.625
Angiogenesis-PT-15,16,468,29.25,16.5625,9.625,0,6.5,1.1875
Angiogenesis-PT-20,16,377,23.5625,11.6875,7.25,0,3.5,1.5625
Angiogenesis-PT-25,16,442,27.625,15.3125,9.625,0,5.6875,1.3125
Angiogenesis-PT-50,16,364,22.75,11.9375,8.1875,0,4,1.3125
AutoFlight-PT-01a,16,545,34.0625,18.1875,10.0625,0,6,2.0625
AutoFlight-PT-01b,16,384,24,12.5,8.875,0,4.375,1.25
AutoFlight-PT-02a,16,517,32.3125,18.875,11.375,0,6.4375,2
AutoFlight-PT-02b,16,442,27.625,14.4375,10.4375,0,4.5,1.8125
AutoFlight-PT-03a,16,411,25.6875,13.1875,9.0625,0,4.4375,1.4375
AutoFlight-PT-03b,16,376,23.5,12.625,8.9375,0,4.8125,1
AutoFlight-PT-04a,16,389,24.3125,13.5,8.625,0,4.875,1.25
AutoFlight-PT-04b,16,402,25.125,14.25,9.625,0,5.25,1.25
AutoFlight-PT-05a,16,511,31.9375,16.9375,12.5,0,5.75,1.8125
AutoFlight-PT-05b,16,520,32.5,18,13.3125,0,6.5625,1.625
AutoFlight-PT-06a,16,395,24.6875,13.3125,8.9375,0,4.5,1.4375
AutoFlight-PT-06b,16,480,30,15.9375,12.125,0,4.5,2.3125
AutoFlight-PT-12a,16,323,20.1875,11.25,8.1875,0,3.375,1.5
AutoFlight-PT-12b,16,363,22.6875,11.4375,9.0625,0,3.5625,1.4375
AutoFlight-PT-24a,16,558,34.875,19.6875,13.9375,0,6.9375,1.9375
AutoFlight-PT-24b,16,440,27.5,14.875,11.0625,0,5,1.625
AutoFlight-PT-48a,16,453,28.3125,15.25,11.5625,0,5,1.75
AutoFlight-PT-48b,16,328,20.5,10.9375,8.5625,0,4.0625,0.9375
AutoFlight-PT-96a,16,453,28.3125,14.875,10.125,0,5.1875,1.5
AutoFlight-PT-96b,16,386,24.125,12.1875,9.25,0,3.75,1.5625
BART-COL-002,16,385,24.0625,13.0625,3.125,0,5.3125,0.8125
BART-COL-005,16,524,32.75,18.1875,3.4375,0,6.1875,1.9375
BART-COL-010,16,344,21.5,11.25,3.25,0,3.9375,1.125
BART-COL-020,16,357,22.3125,12.0625,3.125,0,3.6875,1.5625
BART-COL-030,16,479,29.9375,16.375,3.1875,0,5.375,1.875
BART-COL-040,16,426,26.625,14.3125,3.125,0,4.625,1.6875
BART-COL-050,16,329,20.5625,11.1875,2.8125,0,4,1.0625
BART-COL-060,16,400,25,12.375,3.4375,0,3.9375,1.5
BART-PT-002,16,361,22.5625,11.625,6.8125,0,4.5,0.875
BART-PT-005,16,376,23.5,12.25,6.1875,0,4.625,1
BART-PT-010,16,362,22.625,12.9375,6.9375,0,4.6875,1.1875
BART-PT-020,16,383,23.9375,13.625,7.8125,0,4.375,1.625
BART-PT-030,16,376,23.5,12.75,6.5625,0,4.6875,1.125
BART-PT-040,16,391,24.4375,12.4375,4.375,0,4.4375,1.1875
BART-PT-050,16,407,25.4375,12.1875,6.5,0,3.75,1.5625
BART-PT-060,16,438,27.375,14.6875,8.5625,0,5,1.5625
BridgeAndVehicles-COL-V04P05N02,16,373,23.3125,13,6.375,0,4.625,1.25
BridgeAndVehicles-COL-V10P10N10,16,439,27.4375,15.375,7.625,0,5.4375,1.5
BridgeAndVehicles-COL-V20P10N10,16,271,16.9375,8.6875,5.0625,0,2.375,1.3125
BridgeAndVehicles-COL-V20P10N20,16,453,28.3125,15.375,6.6875,0,5.4375,1.5
BridgeAndVehicles-COL-V20P10N50,16,402,25.125,13.75,6.4375,0,4.25,1.75
BridgeAndVehicles-COL-V20P20N10,16,248,15.5,8.3125,4.625,0,2.75,0.9375
BridgeAndVehicles-COL-V20P20N20,16,411,25.6875,14.9375,7.125,0,5.6875,1.1875
