File,NumProperties,TotalSize,AvgSize,AvgAtomicComplexity,AvgNumAtoms,AvgSimpleAtoms,AvgComparisonAtoms,AvgBooleanAtoms
ARMCacheCoherence-PT-none,16,434,27.125,15.0625,10.0625,0,4.8125,1.8125
ASLink-PT-01a,16,342,21.375,11.9375,8.5625,0,4,1.3125
ASLink-PT-01b,16,415,25.9375,14.75,10,0,5.3125,1.375
ASLink-PT-02a,16,403,25.1875,14,9.8125,0,4.9375,1.375
ASLink-PT-02b,16,411,25.6875,14.1875,10.625,0,5.3125,1.1875
ASLink-PT-03a,16,488,30.5,17.5625,12.5,0,5.6875,2.0625
ASLink-PT-03b,16,376,23.5,12.875,8.75,0,4.5625,1.25
ASLink-PT-04a,16,409,25.5625,13.625,10.0625,0,4.9375,1.25
ASLink-PT-04b,16,332,20.75,11.8125,8.125,0,4.3125,1.0625
ASLink-PT-05a,16,432,27,14,10.25,0,5.125,1.25
ASLink-PT-05b,16,287,17.9375,10.5,7.8125,0,3.75,1
ASLink-PT-06a,16,360,22.5,12.9375,9.3125,0,4.875,1.0625
ASLink-PT-06b,16,292,18.25,9.125,6.5,0,3.0625,1
ASLink-PT-07a,16,410,25.625,14.5,10.625,0,4.625,1.75
ASLink-PT-07b,16,451,28.1875,16.375,11.375,0,6.125,1.375
ASLink-PT-08a,16,414,25.875,11.6875,9.1875,0,3.875,1.3125
ASLink-PT-08b,16,428,26.75,14.125,10.1875,0,4.4375,1.75
ASLink-PT-09a,16,498,31.125,16.9375,11.5625,0,5.9375,1.6875
ASLink-PT-09b,16,318,19.875,10.75,7.4375,0,3.875,1
ASLink-PT-10a,16,354,22.125,11.3125,8.6875,0,3.5,1.4375
ASLink-PT-10b,16,355,22.1875,12.5625,8.9375,0,4.5,1.1875
AirplaneLD-COL-0010,16,305,19.0625,10.25,5.375,0,3.625,1
AirplaneLD-COL-0020,16,415,25.9375,15.1875,7.125,0,5.25,1.5625
AirplaneLD-COL-0050,16,435,27.1875,14.1875,8.25,0,4.5625,1.6875
AirplaneLD-COL-0100,16,429,26.8125,14.0625,7.3125,0,5.0625,1.3125
AirplaneLD-COL-0200,16,316,19.75,10.5625,5.8125,0,3.6875,1.0625
AirplaneLD-COL-0500,16,329,20.5625,10.875,6.25,0,4.3125,0.75
AirplaneLD-COL-1000,16,514,32.125,16.4375,7.6875,0,5.5,1.8125
AirplaneLD-COL-2000,16,423,26.4375,15.1875,7.4375,0,5.4375,1.4375
AirplaneLD-COL-4000,16,294,18.375,10.125,6.125,0,3.75,0.875
AirplaneLD-PT-0010,16,402,25.125,13.875,8.375,0,4.875,1.375
AirplaneLD-PT-0020,16,413,25.8125,14.3125,7.625,0,5.1875,1.3125
AirplaneLD-PT-0050,16,477,29.8125,17.0625,11,0,5.4375,2.0625
AirplaneLD-PT-0100,16,356,22.25,12.125,7.5625,0,4.75,0.875
AirplaneLD-PT-0200,16,416,26,13.375,9.5,0,4.4375,1.5
